"동별(1)",동별(2),동별(3),2023,2023,2023,2023,2023,2023
"동별(1)",동별(2),동별(3),면적,면적,동 (개소),동 (개소),통 (개소),반 (개소)
"동별(1)",동별(2),동별(3),면적 (k㎡),구성비 (%),행정,법정,소계,소계
"서울시",종로구,소계,23.9132228,3.95,17,87,279,1475
"서울시",종로구,사직동,1.23,0.2,1,12,16,68
"서울시",종로구,삼청동,1.49,0.25,1,7,10,42
"서울시",종로구,부암동,2.27,0.38,1,3,18,98
"서울시",종로구,평창동,8.87,1.47,1,2,19,147
"서울시",종로구,무악동,0.36,0.06,1,1,12,71
"서울시",종로구,교남동,0.35,0.06,1,6,18,96
"서울시",종로구,가회동,0.54,0.09,1,4,11,57
"서울시",종로구,종로1.2.3.4가동,2.35,0.39,1,28,21,67
"서울시",종로구,종로5.6가동,0.6,0.1,1,5,16,65
"서울시",종로구,이화동,0.78,0.13,1,3,14,89
"서울시",종로구,혜화동,1.12,0.19,1,5,29,188
"서울시",종로구,창신1동,0.31,0.05,1,1,13,67
"서울시",종로구,창신2동,0.26,0.04,1,-,19,105
"서울시",종로구,창신3동,0.23,0.04,1,-,14,75
"서울시",종로구,숭인1동,0.23,0.04,1,1,11,66
"서울시",종로구,숭인2동,0.35,0.06,1,-,16,80
"서울시",종로구,청운효자동,2.57,0.42,1,9,22,94
"서울시",중구,소계,9.9599474,1.65,15,74,256,1568
"서울시",중구,소공동,0.95,0.16,1,11,6,30
"서울시",중구,회현동,0.84,0.14,1,7,16,98
"서울시",중구,명동,0.99,0.16,1,18,10,41
"서울시",중구,필동,1.14,0.19,1,7,12,65
"서울시",중구,장충동,1.36,0.22,1,3,9,48
"서울시",중구,광희동,0.74,0.12,1,10,14,108
"서울시",중구,을지로동,0.6,0.1,1,10,13,71
"서울시",중구,신당5동,0.39,0.06,1,-,22,134
"서울시",중구,황학동,0.33,0.05,1,1,26,157
"서울시",중구,중림동,0.48,0.08,1,4,20,109
"서울시",중구,신당동,0.55,0.09,1,3,19,98
"서울시",중구,다산동,0.51,0.08,1,-,20,125
"서울시",중구,약수동,0.48,0.08,1,-,31,201
"서울시",중구,청구동,0.34,0.06,1,-,20,165
"서울시",중구,동화동,0.26,0.04,1,-,18,118
"서울시",용산구,소계,21.8675774,3.61,16,36,357,2599
"서울시",용산구,후암동,0.86,0.14,1,1,23,179
"서울시",용산구,용산2가동,1.96,0.32,1,2,20,127
"서울시",용산구,남영동,1.19,0.2,1,4,13,94
"서울시",용산구,원효로2동,0.71,0.12,1,5,22,148
"서울시",용산구,효창동,0.44,0.07,1,1,13,97
"서울시",용산구,용문동,0.28,0.05,1,2,17,121
